model_nr;name;stan_file;short_name;include_pars;dist;ata;ha;part_pool;n_ability;zif;mu;extract_pars;active
1;T-dist original;epl_model.stan;fitX;goal_difference_pred_rep, a, b_home, b_prev, sigma_a0, tau_a, nu, sigma_y, sigma_a;T-dist;0;1;1;1;0;1;b_home, b_prev, sigma_y;0
2;T-dist with AT advantage;epl_model_art_turf.stan;fit_epl_at;goal_difference_pred_rep, a, b_home, b_prev, sigma_a0, tau_a, nu, sigma_y, sigma_a, art_turf_effect;T-dist;1;1;1;1;0;1;b_home, b_prev, sigma_y, art_turf_effect;0
3;Skellam offense/defense;skellam_dynamic.stan;fit_sd;goal_difference_pred_rep, a_offense, a_defense, mixing_proportion, constant_mu, home_advantage, b_prev_offense, b_prev_defense, sigma_a0, tau_a, sigma_a;Skellam;0;1;1;2;1;1;constant_mu, home_advantage, mixing_proportion;0
4;T-dist no pooling;epl_model_no_pooling.stan;fit_epl_np;goal_difference_pred_rep, a, b_home, b_prev, sigma_a0, nu, sigma_y, sigma_a;T-dist;0;1;0;1;0;1;b_home, b_prev, sigma_y;0
5;Skellam single ability;skellam_dynamic_single_ability.stan;fit_sd_sa;goal_difference_pred_rep, a, mixing_proportion, constant_mu, home_advantage, b_prev, sigma_a0, tau_a, sigma_a;Skellam;0;1;1;1;1;1;constant_mu, home_advantage, mixing_proportion;0
6;T-dist no HA;epl_model_no_ha.stan;fit_epl_xtra_no_ha;goal_difference_pred_rep, a, b_prev, sigma_a0, tau_a, nu, sigma_y, sigma_a;T-dist;0;0;1;1;0;1;b_prev, sigma_y;0
7;Skellam, no zif, offense/defense;skellam_dynamic_no_zif.stan;fit_sd_nozif;goal_difference_pred_rep, a_offense, a_defense, constant_mu, home_advantage, b_prev_offense, b_prev_defense, sigma_a0, tau_a, sigma_a;Skellam;0;1;1;2;0;1;constant_mu, home_advantage;0
8;T-dist with AT advantage run2;epl_model_art_turf.stan;fit_epl_at_xtra;goal_difference_pred_rep, a, b_home, b_prev, sigma_a0, tau_a, nu, sigma_y, sigma_a, art_turf_effect;T-dist;1;1;1;1;0;1;b_home, b_prev, sigma_y, art_turf_effect;0
9;T-dist run2;epl_model.stan;fit_epl_xtra;goal_difference_pred_rep, a, b_home, b_prev, sigma_a0, tau_a, nu, sigma_y, sigma_a;T-dist;0;1;1;1;0;1;b_home, b_prev, sigma_y;0
10;Skellam offense/defense with AT;skellam_dynamic_artificial.stan;fit_sd_at;goal_difference_pred_rep, a_offense, a_defense, mixing_proportion, constant_mu, home_advantage, b_prev_offense, b_prev_defense, sigma_a0, tau_a, sigma_a, art_turf_effect;Skellam;1;1;1;2;1;1;constant_mu, home_advantage, mixing_proportion, art_turf_effect;0
14;Skellam, no zif, offense/defense, no mu;skellam_dynamic_no_zif_no_mu.stan;fit_sd_nozif_nomu;goal_difference_pred_rep, a_offense, a_defense, home_advantage, b_prev_offense, b_prev_defense, sigma_a0, tau_a, sigma_a;Skellam;0;1;1;2;0;0;home_advantage;1
